Concesionario;Departamento;Localidad;Direccion;Latitud;Longitud;Teléfono;Gasoil 50-S;Super 30-S;Premium 30-S;Gasoil 10-S
ERGUS S.R.L.;MONTEVIDEO;BARRIO SUR;Rbla. Rep. Argentina S/N y Ejido;-34.9151382456778;-56.1851344679551;29015873;SI;SI;SI;SI
ESTACION BUCEO LTDA.;MONTEVIDEO;BUCEO;Avda. Gral. Rivera 3705 y Anzani;-34.8993022465571;-56.1331110836692;26225624;SI;SI;SI;SI
MARNE LTDA.;MONTEVIDEO;PEREZ CASTELLANOS;Bvar. José Batlle y Ordóñez 3855 y Marne;-34.8654425367134;-56.1665696982929;24816104;SI;SI;SI;SI
CEROCA S.R.L;MONTEVIDEO;PEREZ CASTELLANOS;Pres. Ing. José Serrato 3250 y Avda. Damaso A. Larrañaga;-34.8620349586801;-56.1512933804332;25083927;SI;SI;SI;NO
CELEMYR S.A.;MONTEVIDEO;CORDÓN;Avda. 18 de julio 1928 y Arenal Grande;-34.9014581091286;-56.1742160523725;24090488;SI;SI;NO;SI
MALCAR S.R.L;MONTEVIDEO;CENTRO;Avda. Lib. Brig. Gral. Lavalleja 1572 y Paysandú;-34.901989838539;-56.1921073326873;29002032;SI;SI;SI;NO
URUSALVO S.R.L;MONTEVIDEO;PASO MOLINO;Ángel Salvo 149 y Manuel Herrera y Obes;-34.8635905253265;-56.2163956408508;23083240;SI;NO;NO;NO
MELTA LTDA.;MONTEVIDEO;MALVÍN;Avda. Italia 4304 y Caldas;-34.8876177554053;-56.1143094010137;26130921;SI;SI;SI;NO
RAISAN LTDA;MONTEVIDEO;CERRO;Avda. Dr. Carlos Ma. Ramírez 1695 y Grecia;-34.874327834803;-56.2509837464276;23111386;SI;SI;SI;NO
CASA ELIO OCAMPOS S.C.;SAN JOSE;SAN JOSÉ;Ruta 3 Km. 93 y Avda. J. P. Varela;-34.3808045908696;-56.5388634266434;43423509;SI;SI;SI;SI
SARETT, RUBEN ALEJANDRO;COLONIA;COLONIA;Ruta 1 Km.177.500;-34.4720134032542;-57.8421807700578;45222464;SI;SI;SI;SI
FONBAY S.R.L.;MALDONADO;MALDONADO;Avda. Aiguá S/N y Santa Teresa;-34.9080876568837;-54.9528709587357;42222021;SI;SI;SI;SI
ALERO AZUL;FLORES;TRINIDAD;Ines Durán 1061 y Presbítero Navea - Ruta 3 Km. 190;-33.5133120286844;-56.9081631510067;43642746;SI;SI;SI;NO
TAFIBEL S.A.;CANELONES;LA PAZ;Ruta 5 Km. 19.700 y Tomás Aldabalde;-34.7500396504015;-56.2533105315198;23623142;SI;SI;SI;SI
S.A.C. LTDA.;MALDONADO;PIRIÁPOLIS;Rbla. Rep. de los Argentinos S/N y Avda. Gral. Artigas;-34.8599303802132;-55.2839755823783;44322240;SI;SI;SI;SI
GABELER S.A. (EX MULTISERVICE);MALDONADO;MALDONADO;Avda. F. D. Roosevelt S/N y Zelmar Michelini;-34.9142012673094;-54.9607390743361;42236091;SI;SI;SI;SI
JUAN E. CARIBONI PEREIRA;ROCHA;CHUY;Avda. Gral Artigas 209 y Samuel Priliac;-33.694712223;-53.4553204409485;44742013;SI;SI;NO;NO
DAGUSSI LTDA.;SORIANO;SANTA CATALINA;Ruta 2 Km. 197;-33.7907221712466;-57.4918407128774;45388036;SI;SI;SI;NO
MARTINEZ YARZA BARNEY;CERRO LARGO;MELO;Bvar. Francisco Mata S/N y Dr. Eber da Rosa;-32.3756780648119;-54.165653247861;46423526;SI;SI;NO;NO
FRANCOLINO HNOS. S.R.L.;PAYSANDU;PAYSANDÚ;Avda. España S/N y Juncal;-32.3183929212801;-58.074402219864;47224517;SI;SI;SI;SI
PETROVOLPE S.R.L.;PAYSANDU;PAYSANDÚ;Charrùas 1113 y 19 de abril;-32.3141639892598;-58.0829549212566;47225267;SI;SI;SI;NO
SILVEIRA S.R.L.;SALTO;SALTO;Avda. Agraciada 1109;-31.3930881665582;-57.9461462623435;47332513;SI;SI;SI;SI
MIGLIARO Y CIA.;SALTO;SALTO;Blandengues S/N y Avda. Enrique Amorìn;-31.3887531286596;-57.9515110966526;47334379;SI;SI;SI;NO
LUNA LTDA.;MONTEVIDEO;ATAHUALPA;Bvar. Artigas 3785 y Burgues;-34.8713192188308;-56.1856588439582;22034811;SI;SI;SI;NO
SINTEL S.A.;FLORIDA;FLORIDA;Ruta 5 Km. 100 y Ruta 56;-34.0973527490334;-56.19616941398;43522926;SI;SI;SI;SI
DRESUR S.A.;DURAZNO;DURAZNO;Ruta 5 Km. 184,500 Joaquín Suárez;-33.39372950335225;-56.522913232585616;43622549;SI;SI;SI;SI
ECHENIQUE GOMEZ LTDA.;SORIANO;MERCEDES;Avda. Lavalleja y Ruta 2;-33.222757880516;-57.7244340652582;45322300;SI;SI;NO;SI
TARAN Y CIA S.A.;CANELONES;PANDO;Ruta 8 Km. 30,  Avda. F.D. Roosevelt S/N y Piedras;-34.7247905460506;-55.961591392849;42922001;SI;SI;SI;NO
RODINO Y MIGNOT S.R.L.;RIVERA;RIVERA;Carlos Reyles 1061 y Agraciada ;-30.9040970153943;-55.5440631354776;46542129;SI;SI;SI;NO
ADINEL S.A.;TACUAREMBO;TACUAREMBÓ;18 de Julio 418 y Consejal Catalogne;-31.7184656226436;-55.9857575788219;46331258;SI;SI;SI;SI
PARAJE DIAMANTE;MALDONADO;SAN CARLOS;Avda. Alvariza S/N y 18 de Julio;-34.7926910683124;-54.9207516543616;42669156;SI;SI;SI;SI
FERRE-CAR CANELONES LTDA. ;CANELONES;CANELONES;Gral. Aparicio Saravia S/N y José Rosa Giffuni;-34.5326991153577;-56.2788137300656;43322569;SI;SI;NO;SI
DAMIMAR LTDA.;COLONIA;COLONIA VALDENESE;Ruta 1 Km. 121.500 y General Artigas;-34.3363051568277;-57.258848369926;45588824;SI;SI;SI;SI
TELLAGORRY S.R.L.;LAVALLEJA;MINAS;Diagonal Oribe S/N y Avda. Luis A. de Herrera;-34.3759199469805;-55.2464062957743;44423727;SI;SI;SI;SI
BREGU S.R.L.;CANELONES;LAS PIEDRAS;Avda. Dr. Pouey 668 y Francisco Soca;-34.7292388091654;-56.2239817992406;23645570;SI;SI;NO;NO
RUTA 11 S.R.L.;CANELONES;SAN JACINTO;Avda. Gral. Artigas S/N y Ruta 11;-34.5473173523739;-55.8729465983284;43992658;SI;SI;SI;SI
GONPE S.R.L.;CANELONES;SAN RAMÓN;Avda. Gral. Artigas S/N y Penela;-34.2873729884297;-55.9567009912846;43122126;SI;SI;SI;NO
ROCCA Y CIA. (RUTA) ;ROCHA;ROCHA;Ruta 9 Km.  206.400;-34.4963512424438;-54.3272183852905;44724047;SI;SI;SI;SI
MEC S.R.L.;CANELONES;LAS PIEDRAS;Avda. Gral. Artigas S/N y Rep. Argentina;-34.6073777777778;-56.3572555555556;23644573;SI;SI;SI;NO
VERDERA E HIJO S.R.L.;MONTEVIDEO;PRADO;Avda. Millán 3771 y Avda. L. A. de Herrera;-34.8586718103762;-56.1961163472325;23362197;SI;SI;SI;NO
LAN-CAM S.R.L.;MONTEVIDEO;COLÓN;Avda. Eugenio Garzón 1599 y Bvar. Aparicio Saravia;-34.8154407433827;-56.2206345763076;23201837;SI;SI;NO;NO
VOLPE HNOS LTDA. ;RIO NEGRO;YOUNG;Montevideo 3194 y 12 de Octubre - Ruta 3 Km. 309;-32.7044321148467;-57.6316600636999;45672233;SI;SI;SI;SI
HERNANDEZ MORENO WALTER;MONTEVIDEO;SAYAGO;Avda. Garzón 1028 y Con. Ariel ;-34.8309864478334;-56.2205082670105;23599247;SI;SI;SI;SI
SD VARELA;LAVALLEJA;JOSE PEDRO VARELA;Con. Nacional y 18 de julio S/N a 100 mts. Ruta 8 Km. 257 ;-33.455627777777;-54.5289361111111;44558970;SI;SI;NO;NO
SERVICIOS CARMELO S.A.;COLONIA;CARMELO;Ruta 21 Km. 255.500;-34.020662618505;-58.2575330627544;45422484;SI;SI;NO;SI
AROSA S.C. ;ARTIGAS;ARTIGAS;Pte. Berreta 350 y Río Branco;-30.4014672200694;-56.4651336830903;47722934;SI;SI;NO;NO
AGENCIA PINAMAR  S.R.L.;CANELONES;PINAMAR;Ruta Interbalnearia Km.36,200 y Avda. Los Pinos;-34.7788158347374;-55.862523329709;43767035;SI;SI;SI;SI
MASART S.R.L.;COLONIA;TARARIRAS;Avda. Kennedy s/n y Cno. de los Sauces;-34.2696735710905;-57.6048613064469;45744075;SI;SI;NO;NO
XIVILLIER  HNOS. S.R.L.;FLORES;TRINIDAD;Alfredo J. Puig 661 y Santísima Trinidad;-33.518037707707;-56.8963625767737;43642413;SI;SI;NO;NO
VICTORIA 1;TACUAREMBO;PASO DE LOS TOROS;Bvar. Gral. J. G. Artigas 208 y Emilia Grassi;-32.81540025749691;-56.50323560836984;46646306;SI;SI;SI;NO
SUC. DE BORDOLI RICARDO;RIO NEGRO;FRAY BENTOS;Ruta 2 Km. 308.300;-33.1442184801296;-58.2857308588476;45622921;SI;SI;NO;NO
RECA LTDA.;CANELONES;SAUCE;Ruta 6 (Vieja) Km. 35.500 y Treinta y Tres;-34.646610391536;-56.0586404479078;42940486;SI;NO;NO;NO
ESTACIÓN LAGOMAR LTDA.;CANELONES;LAGOMAR;Avda.Ing. Luis Gianattasio Km. 21 y Buenos Aires;-34.8391388584023;-55.9891887905255;26822002;SI;SI;NO;NO
OFELIA R. PAGGI CHAPPUIS;PAYSANDU;PARADA ESPERANZA;Ruta 90 Km. 6.500;-32.3252265175427;-58.0367741232812;47229527;SI;SI;NO;NO
AUTOMOVIL CLUB DEL URUGUAY ;MONTEVIDEO;CENTRO;Colonia 1291 y Yi;-34.9045465145296;-56.188888398217;1707 int;SI;SI;NO;NO
FERRECAR SOC.COLECTIVA;CANELONES;SANTA LUCÍA;Sarandí 648 y Benito Nardone;-34.4590635776246;-56.3896091186605;43346160;SI;SI;NO;NO
BERA LTDA.;SAN JOSE;TROPAS VIEJAS;Ruta 1 (vieja) Km. 31.800;-34.5589244695979;-56.7451911908238;43479383;SI;SI;NO;NO
FAVIL LTDA.;DURAZNO;SARANDÍ DEL YI;Pte. Berro 604 y Rincón;-33.3442254986427;-55.628363282605;43679719;SI;SI;NO;NO
MARIMAR S.A.;TREINTA Y TRES;TREINTA Y TRES;M. Melendez 497 y Areguati;-33.2297380667635;-54.3817392499533;44522810;SI;SI;NO;SI
MIVIDAL S.A:;TREINTA Y TRES;TREINTA Y TRES;Ruta 8 Km. 285;-33.235796583272;-54.3977023636491;44526558;SI;SI;NO;SI
INSUPERABLE  S.A.;DURAZNO;DURAZNO;Ruta 5 Km. 183.500 y Pablo Galarza;-33.3873714626718;-56.522503846467;43622477;SI;SI;NO;SI
MARTINEZ MANZIONE S.R.L.;FLORIDA;CERRO COLORADO;Ruta 7 Km. 143.500;-33.8655631962555;-55.55083935072;43182048;SI;SI;NO;NO
SERVI-TEXXA S.R.L.;SAN JOSE;SAN JOSÉ;Ruta 3 Km. 92.500;-34.3351529538244;-56.7326574244788;43423776;SI;SI;SI;SI
PINARES DE ATLANTIDA;CANELONES;ATLÁNTIDA;Ruta Interbalnearia Km. 46.600;-34.7652111731757;-55.7552484096667;43725107;SI;SI;SI;SI
ESTEKORAL S.A.;ROCHA;LA PALOMA;Avda. Nicolás Solari S/N y Del Puerto;-34.6600141473182;-54.1550464317564;44796089;SI;SI;SI;SI
SANTOS LTDA. HUGO;CANELONES;TALA;Tomas Berreta S/N esq. Gúzman Azuaga;-34.531598496852;-56.1443008850687;43152014;SI;SI;SI;SI
PETITMAR S.A.;COLONIA;COLONIA;Aparicio Saravia 991 y G. Moreno;-34.454354954864;-57.8401445095521;45226350;SI;SI;SI;SI
ILEM LTDA.;COLONIA;JUAN LACAZE;Avda. Artigas 670 y Roma;-34.4277493842574;-57.4442607155145;45865420;SI;SI;SI;NO
MARIMAR S.A.;ARTIGAS;BELLA UNION;Ruta 3 Km. 623 y camino J. Beninca;-30.2721014807402;-57.5862891003809;47792758;SI;SI;SI;NO
TIFELCAR S.A.;ARTIGAS;ARTIGAS;Telmo García da Rosa y By Pass Ruta 30;-30.4147515798389;-56.4839840212686;47726205;SI;SI;SI;NO
MOTTA Y CIA LTDA.;TREINTA Y TRES;CERRO CHATO;Julio A. Goday esq. Manuel Oribe ;-33.1004472247345;-55.1310837122059;44662016;SI;SI;SI;NO
ARCO LTDA.;CANELONES;PROGRESO;Ruta 5 Vieja Km. 29;-34.6632490845727;-56.2217502753415;43689020;SI;SI;NO;NO
B D B LTDA.;CANELONES;CANELONES;Ruta 11 Km.102.200;-34.513346984979;-56.2460278514791;43325062;SI;SI;SI;SI
ORBITAX S.A.;COLONIA;FLORENCIO SANCHEZ;Ruta 2 y 25 de Agosto;-33.8749510184692;-57.3726997718499;45369174;SI;SI;SI;SI
